title,url,raw_price,location
Prodej bytu 2+1 65 m²,https://reality.idnes.cz/detail/prodej/byt/ceske-budejovice-neplachova/6850421818f29234b4003fd9/,5 690 000 Kč,"Neplachova, České Budějovice - České Budějovice 3"
Prodej bytu 3+1 63 m²,https://reality.idnes.cz/detail/prodej/byt/ceske-budejovice-cecova/68e7811d804536dab507ac16/,5 500 000 Kč,"Čéčova, České Budějovice - České Budějovice 3"
Prodej bytu 3+1 68 m²,https://reality.idnes.cz/detail/prodej/byt/sevetin-zahradni/69618fa22d65715f5d04b679/,3 900 000 Kč,"Zahradní, Ševětín, okres České Budějovice"
Prodej bytu 3+kk 105 m²,https://reality.idnes.cz/detail/prodej/byt/praha-19-semilska/698f1b70f3ba00def800b138/,Cena na vyžádání,"Semilská, Praha 9 - Kbely"
Prodej bytu 2+1 50 m²,https://reality.idnes.cz/detail/prodej/byt/bystre-vrchlickeho/698f14a8fcb547268003a660/,2 190 000 Kč,"Vrchlického, Bystré, okres Svitavy"
Prodej bytu 3+kk 80 m²,https://reality.idnes.cz/detail/prodej/byt/praha-5-radlicka/691f8c5b8bbb6a904700b8bc/,15 000 000 Kč,"Radlická, Praha 5 - Smíchov"
Prodej bytu 2+kk 41 m²,https://reality.idnes.cz/detail/prodej/byt/praha-18-tupolevova/698d015ee7c435012b0ce537/,7 500 000 Kč,"Tupolevova, Praha 9 - Letňany"
Prodej bytu 4+kk 114 m²,https://reality.idnes.cz/detail/prodej/byt/trutnov-chodska/698f112e7afada61900ec04d/,10 050 840 Kč,"Chodská, Trutnov - Horní Předměstí"
Prodej bytu 3+1 73 m²,https://reality.idnes.cz/detail/prodej/byt/praha-17-makovskeho/68f9e84cccbb136f6f0a0efc/,8 000 000 Kč,"Makovského, Praha 6 - Řepy"
Prodej bytu 5+kk 130 m²,https://reality.idnes.cz/detail/prodej/byt/rakovnik-nadrazni/6978967638d6808f2b074c6f/,9 900 000 Kč,"Nádražní, Rakovník - Rakovník I"
Prodej bytu 1+kk 29 m²,https://reality.idnes.cz/detail/prodej/byt/otrokovice-j-valcika/6983a309ad2e2336cb05c97e/,Cena na vyžádání,"J. Valčíka, Otrokovice - Kvítkovice, okres Zlín"
Prodej bytu 1+kk 35 m²,https://reality.idnes.cz/detail/prodej/byt/koh-samui/6862ba146b24fa47310ee825/,2 300 000 Kč,"koh samui, Thajsko"
Prodej bytu 1+1 40 m²,https://reality.idnes.cz/detail/prodej/byt/ostrava-nabrezi-svazu-protifasistickych-bojovniku/698f10676571641f5103aed3/,2 599 000 Kč,"nábřeží Svazu protifašistických bojovníků, Ostrava - Poruba"
Prodej bytu 2+kk 46 m²,https://reality.idnes.cz/detail/prodej/byt/hrusovany-u-brna-vodni/698f0f9f86cf1f08af0b79ad/,4 850 000 Kč,"Vodní, Hrušovany u Brna, okres Brno-venkov"
Prodej bytu 2+kk 67 m²,https://reality.idnes.cz/detail/prodej/byt/brno-jakuba-obrovskeho/698f0dc628647cf00700b366/,9 156 000 Kč,"Jakuba Obrovského, Brno - Bystrc"
Prodej bytu 2+1 52 m²,https://reality.idnes.cz/detail/prodej/byt/neratovice-28-rijna/698f0e9372a8c2fd8f072438/,5 090 000 Kč,"28. října, Neratovice, okres Mělník"
Prodej bytu 3+1 81 m²,https://reality.idnes.cz/detail/prodej/byt/kolin-zizkova/698f0e584dd5b815920bb932/,6 363 000 Kč,"Žižkova, Kolín - Kolín III"
Prodej bytu 3+1 69 m²,https://reality.idnes.cz/detail/prodej/byt/hodonin-velkomoravska/698f0e39026744873107d307/,5 295 000 Kč,"Velkomoravská, Hodonín"
Prodej bytu 3+kk 80 m²,https://reality.idnes.cz/detail/prodej/byt/bakov-nad-jizerou-zizkova/698f35bd68cade2ebe0d84a6/,8 900 000 Kč,"Žižkova, Bakov nad Jizerou, okres Mladá Boleslav"
Prodej bytu 3+kk 83 m²,https://reality.idnes.cz/detail/prodej/byt/mlada-boleslav-zaluzanska/6960033f1de24a10470ff2d1/,6 899 000 Kč,"Zalužanská, Mladá Boleslav - Mladá Boleslav III"
